sample_id,internal_split,stratification_category,target_stack_compatible
360,validation,Good,True
363,train,Good,True
364,train,Good,True
366,train,Good,True
367,train,Good,True
368,train,Explode,True
369,train,Explode,True
371,train,Explode,True
372,validation,Good,True
373,train,Explode,True
374,train,Explode,True
375,train,Good,True
376,train,Good,True
377,train,Good,True
378,train,Explode,True
379,train,Good,True
380,train,Good,True
382,train,Good,True
383,train,Good,True
384,train,Good,True
385,train,Explode,True
386,train,Good,True
387,train,Good,True
388,train,Good,True
389,train,Good,True
390,train,Good,True
391,validation,Explode,True
392,train,Good,True
393,validation,Good,True
394,train,Good,True
395,train,Good,True
396,train,Good,True
397,train,Good,True
398,train,Good,True
399,train,Good,True
400,validation,Bad,True
401,validation,Explode,True
403,train,Good,True
404,train,Good,True
405,validation,Good,True
406,train,Good,True
407,validation,Good,True
408,train,Good,True
410,validation,Good,True
411,train,Good,True
413,train,Good,True
414,train,Good,True
415,train,Good,True
416,train,Good,True
417,train,Good,True
418,validation,Good,True
419,train,Good,True
420,train,Good,True
422,train,Explode,True
423,validation,Good,True
427,train,Good,True
428,train,Good,True
429,train,Good,True
430,validation,Good,True
431,train,Good,True
432,train,Good,True
433,train,Good,True
434,train,Good,True
435,train,Good,False
436,validation,Good,True
437,train,Good,True
439,train,Good,True
440,train,Good,True
441,train,Good,True
442,train,Good,True
443,train,Good,True
446,train,Good,True
447,train,Good,True
448,train,Good,True
449,train,Good,True
450,train,Good,True
451,train,Good,True
452,train,Good,True
454,train,Good,True
455,train,Good,True
456,train,Good,True
457,train,Good,True
458,validation,Good,True
459,train,Good,True
460,train,Good,True
461,validation,Good,False
462,train,Good,True
463,train,Good,True
465,train,Good,True
466,train,Good,True
467,train,Good,True
468,train,Good,True
469,train,Good,True
470,train,Good,True
471,validation,Good,True
472,train,Good,True
473,train,Good,True
475,train,Good,True
476,validation,Good,True
478,train,Explode,True
479,validation,Good,True
481,train,Good,True
482,train,Good,True
484,train,Good,True
486,train,Good,True
487,validation,Good,True
488,train,Explode,True
489,train,Explode,True
491,train,Good,True
492,train,Good,False
493,train,Good,True
494,train,Good,True
495,train,Good,True
